dataset,query_id,context,response_baseline,response_twsls
QQP,QQP_q361689,What is there in the Bermuda triangle?,What is the secret behind Bermuda triangle?,Where is the Bermuda Triangle located?
QQP,QQP_q361691,What is the best poem that you have ever written?,What is the best poem or lines of poetry you have ever written?,What are some of the most beautiful poems?
QQP,QQP_q361692,How can I book train ticket online?,How do I book online railway train tickets online?,Is there any rule that we cannot buy general ticket for trains before four hours?
QQP,QQP_q361693,How do you find a true love?,How can I find my love?,Does true love exist in the world?
QQP,QQP_q361694,How do I overcome depression?,What should i do to overcome depression ?,How do I overcome with negative and depressive thoughts and to be positive?
QQP,QQP_q361701,What are some of the best part time jobs to do from home?,What is a part-time job that I can do from home?,What are the ways to earn in a part time job work from home?
QQP,QQP_q361716,In what ways can I invest money?,How do I invest your money?,What will be the best way to invest money?
QQP,QQP_q361727,How do I stop caring about what people think about me?,What are some psychological tricks to stop caring about what people think?,How can I be indifferent to what people think of me?
QQP,QQP_q361737,What are the most favourite movie characters?,Who are your favourite and least favourite movie characters?,What are your top 10 favourite movies of all time? Why do you like them? Why would you suggest others watch them?
QQP,QQP_q361739,How can I improve my English in all aspects?,What should I do to improve my English ?,How can I improve fluency in English?
QQP,QQP_q361744,How can I make a question in Quora?,How do I ask questions on Quora?,My questions on Quora all need improving. How do you ask a question on Quora?
QQP,QQP_q361749,How do I quickly and efficiently learn a new language?,Is there a way to learn programming language quickly? How can I do it?,Which are the best methods to learn a language?
QQP,QQP_q361751,What are some signs that indicate that a guy likes you?,what are the signs a guy likes you ?,What are some signs that a shy guy likes you?
QQP,QQP_q361761,What are some of the coolest camping gadgets in the world?,What are some of the best camping gadgets and tools?,What are some of the best camping tools?
QQP,QQP_q361763,How can I find who is calling me from a restricted number?,A stranger miscalled me from the private number. How do I find out his number? Is there any free stuff which can help me?,How can you find out who is calling you from a private number?
QQP,QQP_q361769,"Which camera is better, Nikon D3200 or Nikon D3300?","Which camera is better, Nikon D3300 or Nikon D3200?",Which is the best camera quality Phone?
QQP,QQP_q361773,Which is the best book for Python beginners to advance?,Which is the best book for python?,Which is the best book for learning python for absolute beginners on their own?
QQP,QQP_q361776,As a beginner where to start artificial intelligence?,Do we really need artificial intelligence?,What are the the best ways of learning about artificial Intelligence?
QQP,QQP_q361779,How did Donald Trump become president?,Could Donald Trump be a great president?,Would Donald Trump make a good U.S president? Why or why not?
QQP,QQP_q361782,Which is the best movie download site?,Which are best sites to download movies?,What are the best sites for downloading movies?
